value, var1, var2, var3, var4, var5, var6, var7, var8, var9, var10, var11, var12, var13, var14, var15, var16, var17, var18, var19,var20
9706,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17,0
9665,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27,-17
9645,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23,-27
9602,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30,-23
9574,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16,-30
9557,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26,-16
9538,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35,-26
9515,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24,-35
9490,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17,-24
9471,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33,-17
9445,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27,-33
9429,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22,-27
9397,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14,-22
9377,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14,-14
9335,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19,-14
9555,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24,-19
9541,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18,-24
9686.984696,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111,-18
9676.984696,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19,111
9649.984696,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41,-19
9633.984696,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20,-41
9611.984696,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43,-20
9819.220402,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28,-43
9798.220402,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17,-28
9778.220402,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19,-17
9744.220402,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23,-19
9708.220402,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25,-23
10019.03206,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19,-25
9984.032064,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26,-19
9966.032064,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16,-26
9953.032064,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32,-16
9926.032064,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20,-32
9896.032064,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42,-20
9874.032064,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220,-42
9853.032064,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14,220
9827.032064,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956,-14
9792.032064,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10,145.9846956
9770.032064,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27,-10
9755.032064,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16,-27
9733.032064,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22,-16
9886.032064,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069,-22
9856.032064,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21,207.2357069
9975.032064,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20,-21
9947.032064,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34,-20
9934.032064,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36,-34
9909.032064,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615,-36
9869.032064,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35,310.8116615
9848.032064,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18,-35
9823.032064,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13,-18
9784.032064,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27,-13
9764.032064,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30,-27
9735.032064,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22,-30
9724.032064,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21,-22
9702.032064,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26,-21
9680.032064,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35,-26
9660.032064,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22,-35
9639.032064,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15,-22
9618.032064,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22,-15
9594.032064,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153,-22
9561.032064,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30,153
9527.032064,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119,-30
9479.032064,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28,119
9460.032064,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13,-28
9447.032064,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25,-13
9434.032064,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40,-25
9419.032064,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21,-40
9404.032064,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25,-21
9393.032064,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39,-25
9377.032064,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20,-39
9360.032064,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29,-20
9341.032064,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11,-29
9312.032064,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22,-11
9293.032064,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22,-22
9267.032064,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20,-22
9366.032064,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21,-20
9341.032064,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21,-21
9309.032064,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24,-21
9267.032064,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33,-24
9262.032064,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34,-33
9417.727501,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48,-34
9396.727501,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19,-48
9373.727501,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13,-19
9354.727501,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13,-13
9323.727501,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15,-13
9297.727501,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15,-15
9275.727501,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11,-15
9253.727501,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16,-11
9233.727501,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17,-16
9215.727501,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19,-17
9185.727501,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29,-19
9171.727501,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19,-29
9154.727501,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26,-19
9135.727501,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99,-26
9107.727501,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25,99
9081.727501,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32,-25
9464.719753,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42,-32
9448.719753,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5,-42
9579.679798,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366,-5
9552.679798,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21,155.6954366
9537.679798,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23,-21
9522.679798,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19,-23
9494.679798,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31,-19
9608.996639,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26,-31
9578.996639,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22,-26
9566.996639,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22,-22
9543.996639,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20,-22
9515.996639,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18,-20
9464.996639,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30,-18
9428.996639,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14,-30
9395.996639,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17,-14
9375.996639,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19,-17
9355.996639,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28,-19
9501.750421,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26,-28
9485.750421,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252,-26
9474.750421,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16,382.992252
9453.750421,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453,-16
9445.750421,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27,130.9600453
9442.750421,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15,-27
9430.750421,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15,-15
9403.750421,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28,-15
9383.750421,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416,-28
9363.750421,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30,114.3168416
9546.750421,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12,-30
9528.750421,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23,-12
9517.750421,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28,-23
9503.750421,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51,-28
9644.076078,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36,-51
9635.076078,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33,-36
9613.076078,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20,-33
9596.076078,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20,-20
9766.639861,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812,-20
9738.639861,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16,145.7537812
9843.639861,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11,-16
9824.639861,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21,-11
9808.639861,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8,-21
9789.639861,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3,-8
9764.639861,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12,-3
9748.639861,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27,-12
9725.639861,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20,-27
9705.639861,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20,-20
9675.639861,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183,-20
9655.639861,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18,183
9631.639861,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11,-18
9631.639861,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14,-11
9599.639861,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657,-14
9566.639861,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9,140.325657
9517.639861,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22,-9
9638.370532,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17,-22
9623.370532,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836,-17
9616.370532,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28,170.5637836
9596.370532,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105,-28
9571.370532,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19,105
9552.370532,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16,-19
9527.370532,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19,-16
9502.370532,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25,-19
9614.580162,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16,-25
9593.580162,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23,-16
9697.580162,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20,-23
9818.417003,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30,-20
9790.417003,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20,-30
9773.417003,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24,-20
9756.417003,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0,-24
9739.417003,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32,0
9722.417003,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33,-32
9685.417003,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49,-33
9673.417003,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705,-49
9663.417003,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15,120.7306705
9640.417003,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7,-15
9598.417003,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20,-7
9746.64981,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25,-20
9874.64981,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19,-25
9855.64981,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25,-19
9827.64981,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25,-25
9800.64981,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298,-25
9794.64981,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21,112.2096298
9778.64981,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104,-21
9971.179095,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416,104
9943.179095,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28,120.8368416
9918.179095,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17,-28
9875.179095,-43,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17,-17
9852.179095,-23,-43,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17,-17
10082.29732,230.1182278,-23,-43,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17,-17
10077.29732,-5,230.1182278,-23,-43,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37,-17
10053.29732,-24,-5,230.1182278,-23,-43,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12,-37
10026.29732,-27,-24,-5,230.1182278,-23,-43,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10,-12
9991.297323,-35,-27,-24,-5,230.1182278,-23,-43,-25,-28,192.5292852,-16,-6,-27,-28,-19,128,148.2328069,-42,-23,-10
